
Av.Distance(km),Cosines,Haversine,Vincenty,ChordL,Pythagoras,Polar
0.000,0.314865196,0.322039518,0.322039518,0.322039518,0.322039518,4.402627814
0.004,3.907374327,3.908089660,3.908089660,3.908089660,3.908089660,8.421768117
0.005,4.707686999,4.707517642,4.707517642,4.707517642,4.707517642,56.631373049
0.009,9.182763986,9.182959285,9.182959285,9.182959285,9.182959285,31.270062777
0.013,12.946770138,12.946805182,12.946805182,12.946805182,12.946805182,31.525908036
0.014,14.054932915,14.054888749,14.054888749,14.054888749,14.054888749,95.522530550
0.015,14.697218598,14.697267327,14.697267327,14.697267327,14.697267327,33.202394256
0.016,16.458364711,16.458255659,16.458255659,16.458255659,16.458255659,94.953875539
0.021,20.639887945,20.639842006,20.639842006,20.639842006,20.639842006,20.686016699
0.021,20.770040691,20.770109116,20.770109116,20.770109115,20.770109116,62.402710852
0.022,22.268581598,22.268405213,22.268405213,22.268405213,22.268405213,89.023301668
0.023,22.625126405,22.625076342,22.625076342,22.625076343,22.625076342,126.756015768
0.023,22.819285988,22.819216534,22.819216534,22.819216534,22.819216534,22.898882352
0.023,23.064034373,23.063985512,23.063985512,23.063985512,23.063985512,90.508761034
0.027,26.701338238,26.701404328,26.701404328,26.701404328,26.701404328,229.590687977
0.027,26.902596682,26.902618564,26.902618564,26.902618564,26.902618564,135.387643861
0.028,27.570203054,27.570280975,27.570280975,27.570280975,27.570280975,67.970730543
0.028,27.598628815,27.598705655,27.598705655,27.598705655,27.598705655,106.728784692
0.031,30.765085020,30.765034686,30.765034686,30.765034686,30.765034686,75.714896261
0.031,31.157917609,31.157902381,31.157902381,31.157902381,31.157902381,154.291549989
0.033,32.964200204,32.964233482,32.964233482,32.964233482,32.964233482,35.403267718
0.034,33.518794676,33.518720900,33.518720900,33.518720900,33.518720900,96.081516917
0.034,34.347475406,34.347423868,34.347423868,34.347423868,34.347423868,110.341106745
0.035,35.144064775,35.144002165,35.144002165,35.144002165,35.144002165,182.373229896
0.035,35.191476256,35.191479757,35.191479757,35.191479757,35.191479757,36.383463295
0.035,35.292493001,35.292376078,35.292376078,35.292376078,35.292376078,94.338668346
0.039,39.190858189,39.190843383,39.190843383,39.190843383,39.190843383,146.498059312
0.040,39.629373029,39.629430014,39.629430014,39.629430014,39.629430014,124.876844799
0.040,40.467444466,40.467480283,40.467480283,40.467480283,40.467480283,84.243349963
0.044,43.754213778,43.754157311,43.754157312,43.754157311,43.754157311,43.781040228
0.044,44.392236861,44.392190661,44.392190660,44.392190661,44.392190661,80.611701452
0.045,44.521173539,44.521216791,44.521216791,44.521216791,44.521216791,81.429361255
0.048,48.156785756,48.156786083,48.156786083,48.156786082,48.156786083,61.702904437
0.049,48.552395173,48.552305565,48.552305565,48.552305565,48.552305565,172.295916295
0.050,49.814330113,49.814397792,49.814397792,49.814397792,49.814397792,66.660571779
0.050,49.892248524,49.892290781,49.892290781,49.892290781,49.892290781,49.908564394
0.052,52.211637628,52.211643316,52.211643316,52.211643316,52.211643316,129.454152714
0.052,52.427655343,52.427692041,52.427692041,52.427692041,52.427692041,228.423282973
0.054,53.669425318,53.669408998,53.669408999,53.669408999,53.669408999,99.767049545
0.054,54.380601301,54.380716487,54.380716487,54.380716487,54.380716487,57.783250074
0.054,54.433444896,54.433344683,54.433344683,54.433344683,54.433344683,72.244218495
0.055,54.527409537,54.527403453,54.527403453,54.527403453,54.527403453,158.056058125
0.055,54.789011681,54.789123367,54.789123368,54.789123368,54.789123367,56.517472524
0.056,55.730573713,55.730616261,55.730616261,55.730616261,55.730616261,81.709939070
0.056,55.945811392,55.945844026,55.945844026,55.945844026,55.945844026,62.825901596
0.059,58.898539794,58.898528918,58.898528918,58.898528918,58.898528918,162.707528886
0.059,59.039609584,59.039584589,59.039584589,59.039584589,59.039584589,107.044833579
0.060,59.901396828,59.901349553,59.901349553,59.901349553,59.901349553,180.613460219
0.063,62.658605564,62.658558173,62.658558173,62.658558173,62.658558174,110.298596029
0.069,68.673168260,68.673176142,68.673176142,68.673176142,68.673176142,105.453400484
0.546,545.681824710,545.681817555,545.681817555,545.681817555,545.681828417,19238.134505909
0.564,563.740716641,563.740713391,563.740713391,563.740713391,563.740741730,8664.914583789
0.641,641.046489538,641.046490187,641.046490187,641.046490187,641.046490492,1011.452286581
1.170,1170.070174804,1170.070175295,1170.070175295,1170.070175295,1170.070185357,4588.810906297
1.328,1328.492165450,1328.492167737,1328.492167737,1328.492167737,1328.492176496,5876.304991355
1.465,1465.473874434,1465.473869423,1465.473869423,1465.473869423,1465.473871506,4182.318875717
1.512,1512.442192163,1512.442190986,1512.442190986,1512.442190986,1512.442191075,1532.483981870
1.882,1881.755402181,1881.755400595,1881.755400596,1881.755400596,1881.755406841,5597.567702714
1.909,1908.945471812,1908.945470334,1908.945470334,1908.945470334,1908.945479002,4731.461889360
2.046,2045.766876387,2045.766876024,2045.766876024,2045.766876025,2045.766876203,2184.269578781
2.378,2378.111968568,2378.111967210,2378.111967210,2378.111967210,2378.111974099,8890.906628673
2.488,2488.375021775,2488.375021957,2488.375021957,2488.375021957,2488.375284829,28827.676600394
2.517,2517.312526034,2517.312525705,2517.312525705,2517.312525705,2517.312547186,8304.908009779
2.583,2582.640117677,2582.640118410,2582.640118410,2582.640118410,2582.640198235,15648.190853866
2.821,2821.117786186,2821.117787960,2821.117787960,2821.117787960,2821.117797504,5334.247380743
3.238,3237.987843392,3237.987843930,3237.987843930,3237.987843930,3237.987845808,3998.243778258
3.238,3238.396351060,3238.396351681,3238.396351681,3238.396351681,3238.396481664,17234.530579907
3.252,3252.000772705,3252.000771436,3252.000771436,3252.000771436,3252.000772854,10297.378254461
3.325,3324.587650408,3324.587649877,3324.587649877,3324.587649877,3324.587730247,12443.003766284
3.437,3436.947079995,3436.947080721,3436.947080721,3436.947080721,3436.947083538,10190.164422568
3.632,3632.183538646,3632.183539765,3632.183539765,3632.183539765,3632.183641633,14743.015783232
3.640,3639.964859954,3639.964859009,3639.964859009,3639.964859008,3639.964873789,10791.358709307
3.654,3654.397546717,3654.397546570,3654.397546570,3654.397546569,3654.397552085,5363.124508733
3.731,3731.117319145,3731.117318753,3731.117318753,3731.117318753,3731.117340571,5853.943216693
3.865,3864.825956782,3864.825956678,3864.825956678,3864.825956678,3864.826011062,9770.264045306
3.972,3971.606920927,3971.606920827,3971.606920827,3971.606920827,3971.606935205,7801.051046272
4.027,4026.672664361,4026.672664371,4026.672664371,4026.672664371,4026.672724159,10916.547961962
4.328,4328.253651739,4328.253652175,4328.253652174,4328.253652174,4328.253680544,8672.942420644
